ID;p80;tms;Acid_ton;Salmu_ton;Sal_ton;Menos100;Mas19mm;Humedad_BS;tms_cdato;P80_PP;Acid_kgpt;Salmu_kgpt;Sal_kgpt;tms_cdato100;Menos100_cdato100;Mas19mm_cdato100;Humedad_BS_cdato100
1045218;14.80137825;27973.86699;510.0934699;294;83.3;12.62161451;8.729950039;6.595336953;27973.86699;414.0517864;18.23464272;10.50980903;2.977779226;27973.86699;3.530753656;2.442104612;1.844970787
1045219;13.88820601;53916.88086;1065.857366;637;242.3;16.22508201;5.273782488;7.140042557;53916.88086;748.8087485;19.76852795;11.81448166;4.493954326;53916.88086;8.748058136;2.843459021;3.849688239
1045220;14.12850285;58122.45835;1140.93353;719;12;16.66666667;6.697772426;5.989711789;58122.45835;821.1833183;19.62982231;12.3704334;0.206460641;58122.45835;9.687076392;3.892909989;3.48136774
1045221;14.49851179;62047.35146;1243.9198;640;201.5;15.56585278;4.827472254;6.802360775;62047.35146;899.5942567;20.04791132;10.31470296;3.247519761;62047.35146;9.658199383;2.995318676;4.220684697
1045222;15.12944221;52497.45545;1006.637964;597;150.3;12.54793981;7.257147403;5.988100569;52497.45545;794.2572187;19.17498582;11.37197974;2.862995905;52497.45545;6.587349113;3.809817725;3.143600429
1045223;14.52493763;59206.06296;1028.944;549.46875;200.5;16.79892682;4.667377276;6.416386663;59206.06296;859.9643718;17.37903094;9.28061625;3.386477499;59206.06296;9.945983192;2.763370328;3.798889928
1045224;14.46163559;56365.41998;1083.404536;640;27;17.03493266;6.492003367;6.274281274;56365.41998;815.1361636;19.22108513;11.3544794;0.4790171;56365.41998;9.601811337;3.659244963;3.536524991
1045225;14.46796703;54788.37993;1019.84887;725;4;14.21795953;12.1363828;9.056538864;54788.37993;792.6764746;18.61432792;13.23273294;0.073008182;54788.37993;7.789789684;6.649327518;4.961930922
1045226;15.08800364;57946.18552;1262.679654;768;32.3;14.74664852;6.686494238;7.404347273;57946.18552;874.2922578;21.79055692;13.25367655;0.55741374;57946.18552;8.545120312;3.874568356;4.290536807
1045227;15.88992214;46739.41179;794.197776;555;40;13.91159473;7.351486437;6.920504245;46739.41179;742.6856143;16.99203618;11.87434712;0.855808802;46739.41179;6.502197548;3.436041519;3.234602977
1045228;14.96374226;53600.41461;862.824666;554;39.8;14.35538592;5.571458863;6.728612624;53600.41461;802.062789;16.0973506;10.33574095;0.74253157;53600.41461;7.694546372;2.986325051;3.606564264
1045229;15.32409334;58245.21462;1112.214968;683;25.3;18.53809517;6.053582449;6.760503306;58245.21462;892.5551056;19.09538793;11.72628523;0.434370449;58245.21462;10.79755332;3.52592209;3.93766966
1045230;15.30455494;57720.97631;1206.675702;598;76.1;16.98489275;5.576317637;7.151054368;57720.97631;883.393853;20.90532384;10.36018512;1.318411518;57720.97631;9.803845923;3.218704982;4.127658398
1145231;15.16530228;53502.77444;1103.285204;128;684;12.81685112;14.43234559;4.369114878;53502.77444;811.385747;20.62108396;2.392399298;12.78438375;53502.77444;6.857370947;7.721705308;2.337597678
1145232;15.14814377;50498.21906;1014.446914;645;79.8;14.73582885;9.892578081;4.411951685;50498.21906;764.9542824;20.08876616;12.77272767;1.580253749;50498.21906;7.441331132;4.99557575;2.227957027
1145233;15.2206459;41057.63363;749.824566;472;148;13.0542407;11.59883001;6.470674059;41057.63363;624.9237032;18.26273216;11.49603516;3.604688992;41057.63363;5.359762318;4.762205132;2.656705649
1145234;15.12822199;51079.25032;996.624134;598;174.3;14.60817283;9.538367472;6.443217666;51079.25032;772.7382378;19.51133049;11.7072979;3.412344522;51079.25032;7.461745167;4.872126597;3.29114728
1145235;15.93015575;43191.75485;683.898654;429;6.5;13.61347991;11.41477448;6.407575944;43191.75485;688.0513821;15.83400944;9.932451262;0.150491686;43191.75485;5.879900871;4.93024141;2.767544494
1145236;13.45194197;30.8896346;0;0;0;13.75863115;0;;30.8896346;0.415525572;0;0;0;30.8896346;0.004249991;0;0
1145237;14.042171;935.8866938;42.2602;0;30;13.99342796;0;;935.8866938;13.14188099;0;0;32.05516245;935.8866938;0.13096263;0;0
1145238;14.042171;32219.29852;683.108572;80;501.2;11.71001495;18.76432486;3.909409544;32219.29852;452.4288994;21.20184496;2.482983915;15.55589423;32219.29852;3.772884673;6.045733843;1.259584332
1145239;14.83011723;51347.77205;988.79681;690.75;10.1;16.21082606;6.481657577;6.653326663;51347.77205;761.4934788;19.25685907;13.45238503;0.196697921;51347.77205;8.323898016;3.328186758;3.416335009
1145240;14.64783525;47975.24309;610.20054;639;34.74;17.55098695;5.041061082;7.211538462;47975.24309;702.7334571;12.71907135;13.31936972;0.72412348;47975.24309;8.420128655;2.418461308;3.459753107
1145241;15.09833097;43413.80511;760.22425;629;68.84;11.14395263;6.717582497;6.753782669;43413.80511;655.4759984;17.51111767;14.48847892;1.585670729;43413.80511;4.838013875;2.916358174;2.932074045
1145242;15.01896191;51931.07525;1016.100574;737;31.8;17.04572937;7.423530278;8.468677494;51931.07525;779.950841;19.56633035;14.19188793;0.612350117;51931.07525;8.852030545;3.855119095;4.397875282
1145243;15.46122932;53484.66819;1171.80185;725;44.4;16.42920776;7.223805282;5.934177953;53484.66819;826.9387202;21.90911694;13.55528649;0.830144441;53484.66819;8.787107257;3.863628285;3.173875388
1145244;15.65676975;39611.91544;885.590052;256;380.6;15.74701001;10.30726307;4.648819804;39611.91544;620.1946396;22.35665814;6.46270187;9.608220045;39611.91544;6.237692288;4.08290433;1.84148657
1145245;15.57818317;42271.07937;879.030534;303;363;15.98452962;7.466926037;6.423026219;42271.07937;658.5066174;20.79508134;7.168021364;8.587431535;42271.07937;6.756833202;3.156350231;2.715082511
1145246;14.90046835;47574.31047;1038.553602;638;42.5;14.66143393;5.699390815;5.135708538;47574.31047;708.8795074;21.83013462;13.41059899;0.893339274;47574.31047;6.975076096;2.711445881;2.443277925
1145247;15.17478657;56890.87678;1232.105318;768;21;17.00258676;5.992670834;6.604651163;56890.87678;863.3069127;21.65734451;13.49952828;0.369127726;56890.87678;9.672920685;3.40928298;3.757443955
