compid;dhid;midx;midy;midz;topx;topy;topz;botx;boty;botz;sample;from;to;length;tcu_sond;ascu_sond;cnscu_sond;rescu_sond;rs_sond;ri_sond;lito;alte;mine;ZMIN_BT;ugm_acido;ugm_extrac_cu;fase_cb23_v07;year_cb2023_v07;tcu_cab;ascu_cab;cnscu_cab;rescu_cab;rs_cab;ri_cab;cusfe%_cab;S%_cab;fes%cab;als%cab;mns%cab;mgs%cab;cas%cab;fet%_cab;ext_cu_anal_bt;ext_cu_calc_bt;ext_cu_cabrip_bt;ext_cu_cabsol_bt;ext_cu_ripsol_bt;can_bt;cab_bt;conc_cu_g/l;conc_fe_g/l;conc_Mn_mg/l;conc_Mn_g/l;conc_Mg_mg/l;conc_Mg_g/l;conc_Al_mg/l;conc_Al_g/l;conc_Ca_mg/l;conc_Ca_g/l;conc_Cl_mg/l;conc_Cl_g/l;conc_SO4_g/l;Eh mV;conc_fe+2_g/l;conc_fe+3_g/l;tcu_rip;ascu_rip;cnscu_rip;rescu_rip;rs_rip;ri_rip;cusfe%_rip;S%_rip;fes%rip;als%rip;mns%rip;mgs%rip;cas%rip;fet%_rip
PR;ZD-1456;92602.935;21281.903;2854.839;92605.476;21281.053;2859.06;92600.395;21282.778;2850.622;GMZV-007;186;196;10;0.766;0.476;0.213;;0.899;;AND;BIO;CUO;CUO;4;3;12;2028;0.899;0.5;0.26;0.18;0.845;0.2;0.691;0.165;;;;;;2.81;81.3;78.4;77.6;;;13.3;24.1;;;;;;;;;;;;;;487;;;0.21;;;;;;;0.138;;;;;;3.31
PR;ZD-1456;92565.251;21295.46;2792.614;92567.825;21294.515;2796.796;92562.668;21296.41;2788.44;GMZV-008;260;270;10;0.584;0.155;0.346;;0.858;;AND;BIO;SSE;SSE;1;1;13;2033;0.461;0.11;0.22;0.15;0.716;0.325;0.239;0.652;;;;;;3.94;90.2;84.3;83.2;;;13;18.9;;;;;;;;;;;;;;483;;;0.08;;;;;;;0.556;;;;;;4.44
PR;ZD-1485;93110.682;22065.802;2975.519;93113.467;22063.169;2980.135;93107.882;22068.431;2970.909;GMZV-009;52;64;12;0.368;0.058;0.201;;0.704;;AND;BIO;SSE;SSE;1;1;8;2025;0.613;0.08;0.38;0.17;0.75;0.277;0.197;1.12;;;;;;3.59;91.4;77.9;74.1;;;11.7;18.7;;;;;;;;;;;;;;487;;;0.161;;;;;;;1.24;;;;;;4.06
PR;ZD-1513;92742.991;21089.125;3010.366;92745.745;21086.401;3016.196;92740.245;21091.886;3004.549;GMZV-010;128;142;14;0.293;0.075;0.033;;0.369;;BXX;CLO;LXX;PRI;4;3;12;2027;0.244;0.05;0.02;0.18;0.287;0.738;0.079;0.101;;;;;;3.62;62.7;50.3;38.1;;;14.8;16.3;;;;;;;;;;;;;;494;;;0.153;;;;;;;0.117;;;;;;4.05
PR;ZD-1513;92721.189;21111.567;2963.923;92723.896;21108.704;2969.709;92718.485;21114.466;2958.154;GMZV-011;184;198;14;0.325;0.09;0.021;;0.342;;BXX;CLO;PRI;PRI;5;5;12;2027;0.289;0.08;0.02;0.2;0.346;0.692;0.084;0.162;;;;;;3.45;57.6;44.6;28.5;;;15.1;16.4;;;;;;;;;;;;;;493;;;0.211;;;;;;;0.123;;;;;;3.93
PR;ZD-1513;92708.43;21125.249;2936.738;92710.754;21122.757;2941.677;92706.107;21127.741;2931.799;GMZV-012;218;230;12;0.527;0.296;0.033;;0.624;;BXX;CLO;CUO;CUO;4;3;12;2027;0.544;0.3;0.04;0.23;0.625;0.423;0.335;0.107;;;;;;4.45;68.3;57.9;50.4;;;11.3;15.5;;;;;;;;;;;;;;491;;;0.273;;;;;;;0.144;;;;;;4.92
PR;ZD-1513;92689.175;21146.502;2895.783;92691.49;21143.876;2900.656;92686.859;21149.128;2890.911;GMZV-013;268;280;12;1.267;0.131;0.997;;0.89;;BXX;QSE;SSE;SSE;3;2;12;2028;1.394;0.12;0.9;0.44;0.732;0.316;0.694;1.66;;;;;;3.98;89.2;80.4;78.2;;;8.9;25.7;;;;;;;;;;;;;;485;;;0.31;;;;;;;1.54;;;;;;4.77
PR;ZD-1513;92668.501;21170.053;2853.042;92670.464;21167.819;2857.061;92666.538;21172.288;2849.022;GMZV-014;322;332;10;0.742;0.564;0.028;;0.798;;AND;BIO;CUO;CUO;4;3;13;2032;0.718;0.52;0.07;0.15;0.822;0.209;0.56;0.131;;;;;;4.77;85.8;76.3;73.3;;;9.9;18;;;;;;;;;;;;;;487;;;0.198;;;;;;;0.111;;;;;;5.06
PR;ZD-1513;92635.61;21207.003;2787.649;92638.488;21203.795;2793.165;92632.737;21210.183;2782.114;GMZV-015;402;416;14;0.937;0.706;0.113;;0.874;;LPY;QSE;CUO;CUO;4;3;13;2033;0.764;0.63;0.04;0.11;0.877;0.144;0.668;0.22;;;;;;2.1;96.8;81.3;77.7;;;12.5;21.6;;;;;;;;;;;;;;481;;;0.175;;;;;;;0.16;;;;;;2.43
PR;ZD-1012;92761.178;21088.576;2943.662;92761.249;21088.686;2948.66;92761.113;21088.468;2938.663;GMZV-016;228;238;10;0.393;0.158;;;;;BXX;SER;MSP;CUO;3;4;12;2027;0.379;0.14;0.02;0.22;0.422;0.58;0.148;0.249;;;;;;3.55;60.4;49.3;37.9;;;13.5;15.7;;;;;;;;;;;;;;493;;;0.247;;;;;;;0.157;;;;;;4.09
PR;ZD-1013;92787.247;21125.544;2986.637;92788.078;21126.17;2991.528;92786.417;21124.918;2981.746;GMZV-017;196;206;10;0.312;0.107;;;;;BXX;CLO;CUO;PRI;4;3;12;2027;0.373;0.09;0.04;0.24;0.35;0.64;0.116;0.087;;;;;;4.28;58.5;51.2;44.2;;;13.7;16.2;;;;;;;;;;;;;;496;;;0.21;;;;;;;0.117;;;;;;4.92
PR;ZD-1013;92771.369;21114.823;2901.777;92772.312;21115.436;2906.649;92770.426;21114.211;2896.906;GMZV-018;283;293;10;0.259;0.102;;;;;AND;CLO;MSP;CUO;1;4;12;2028;0.223;0.08;0.02;0.13;0.448;0.583;0.086;0.047;;;;;;4.43;66.2;54.4;44.6;;;15.1;16.7;;;;;;;;;;;;;;491;;;0.127;;;;;;;0.067;;;;;;4.89
PR;ZD-1092;92315.378;21350.903;2982.284;92315.319;21350.919;2987.283;92315.437;21350.888;2977.284;GMZV-019;185;195;10;0.407;0.262;;;;;AND;CLO;CUO;CUO;4;3;-99;-99;0.462;0.24;0.03;0.18;0.584;0.39;0.276;0.075;;;;;;4.43;79.2;65.4;58.1;;;14.1;18.2;;;;;;;;;;;;;;483;;;0.198;;;;;;;0.123;;;;;;4.68
PR;ZD-1092;92316.069;21350.939;2874.287;92315.981;21350.865;2885.287;92316.157;21351.013;2863.288;GMZV-020;287;309;22;0.287;0.116;;;;;AND;CLO;MSP;MSP;1;4;13;2031;0.336;0.11;0.03;0.21;0.417;0.625;0.125;0.13;;;;;;3.95;58.7;54.3;50.6;;;15.2;17.8;;;;;;;;;;;;;;489;;;0.167;;;;;;;0.151;;;;;;4.44
PR;ZD-1238;92602.35;21073.805;3020.877;92602.143;21076.849;3024.839;92602.564;21070.762;3016.916;GMZV-021;192;202;10;0.357;0.18;0.051;;0.647;;LPY;QSE;CUO;CUO;4;3;12;2027;0.31;0.17;0.03;0.12;0.645;0.387;0.183;0.062;;;;;;2.22;69.9;64.3;61.1;;;12.8;15.7;;;;;;;;;;;;;;496;;;0.124;;;;;;;0.058;;;;;;2.41
PR;ZD-1239;92426.264;21200.378;3021.704;92428.161;21201.717;3026.132;92424.348;21198.989;3017.299;GMZV-022;168;178;10;0.711;0.544;0.026;;0.802;;BXX;BIO;CUO;CUO;4;3;12;2027;0.719;0.55;0.03;0.16;0.807;0.223;0.562;0.066;;;;;;4.23;66.9;71.6;73.5;;;9.3;17.5;;;;;;;;;;;;;;484;;;0.199;;;;;;;0.092;;;;;;4.15
PR;ZD-1462;93980.885;22493.306;3158.787;93983.398;22494.619;3162.904;93978.369;22491.99;3154.671;GMZV-023;312;322;10;0.948;0.197;0.728;;0.976;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.896;0.14;0.73;0.07;0.971;0.078;0.47;1.8;;;;;;1.3;88.2;86.4;86.1;;;3.4;15.3;;;;;;;;;;;;;;489;;;0.126;;;;;;;1.86;;;;;;1.38
PR;ZD-1462;93955.626;22480.22;3117.668;93958.175;22481.516;3121.77;93953.074;22478.926;3113.567;GMZV-024;362;372;10;0.208;0.007;0.082;;0.428;;ZPY;QSE;MSP;MSP;2;4;-99;-99;0.219;0.01;0.09;0.13;0.457;0.594;0.019;1.16;;;;;;1.14;49.1;44.8;39.6;;;7.8;9.2;;;;;;;;;;;;;;496;;;0.134;;;;;;;1.12;;;;;;1.22
PR;ZD-1480;93871.122;22152.895;3005.749;93871.58;22151.214;3010.435;93870.655;22154.591;3001.068;GMZV-025;10;20;10;0.354;0.007;0.091;;0.277;;ZPY;QSE;PRI;PRI;5;5;8;2024;0.369;0.01;0.05;0.3;0.163;0.813;0.021;1.06;;;;;;1.04;26;25.8;25.5;;;9.7;11.1;;;;;;;;;;;;;;495;;;0.28;;;;;;;1.02;;;;;;0.88
PR;ZD-1482;93099.336;21933.914;2988.77;93098.396;21934.864;2993.588;93100.274;21932.964;2983.952;GMZV-026;28;38;10;0.319;0.049;0.212;;0.818;;BXX;QSE;SSE;SSE;3;2;8;2025;0.289;0.05;0.16;0.09;0.727;0.311;0.087;1.17;;;;;;4.59;78.8;62;51.7;;;16;18.3;;;;;;;;;;;;;;492;;;0.141;;;;;;;1.17;;;;;;4.74
PR;ZD-1509B;92809.981;21159.094;2928.492;92811.357;21157.571;2934.13;92808.601;21160.616;2922.855;GMZV-027;202;214;12;0.45;0.187;0.041;;0.507;;BXX;CLO;CUO;CUO;4;3;12;2028;0.452;0.17;0.04;0.24;0.465;0.531;0.189;0.055;;;;;;4.14;57.9;57.7;57.6;;;12.1;16.1;;;;;;;;;;;;;;491;;;0.197;;;;;;;0.068;;;;;;4.45
PR;ZD-1509B;92796.281;21173.888;2873.045;92797.903;21172.153;2879.63;92794.663;21175.622;2866.459;GMZV-028;260;274;14;0.307;0.064;0.053;;0.381;;BXX;QSE;PRI;MSP;5;5;12;2028;0.284;0.07;0.04;0.17;0.387;0.599;0.082;0.221;;;;;;4.65;31;33.6;38.8;;;14.6;16.3;;;;;;;;;;;;;;490;;;0.18;;;;;;;0.144;;;;;;4.53
PR;Z-49;93496.786;22004.827;3063.886;93496.791;22004.705;3070.885;93496.781;22004.949;3056.887;GMZV-029;224;238;14;0.471;0.28;;;;;BXX;SIL;CUO;CUO;4;3;8;2024;0.526;0.35;0.1;0.1;0.856;0.19;0.387;0.429;;;;;;2.42;86.8;86.7;86.7;;;7.8;14.8;;;;;;;;;;;;;;490;;;0.073;;;;;;;0.251;;;;;;2.47
PR;Z-232;94047.463;21845.997;3122.888;94047.027;21846.247;3131.874;94047.899;21845.748;3113.902;GMZV-030;254;272;18;0.562;0.385;;;;;ZPY;SIL;CUO;CUO;4;3;-99;-99;0.471;0.45;0.02;0.02;0.998;0.042;0.465;0.477;;;;;;0.44;93.1;91.5;91.3;;;3.9;10.5;;;;;;;;;;;;;;493;;;0.042;;;;;;;0.436;;;;;;0.44
PR;ZD-1395;92591.722;20962.387;3051.5;92591.792;20960.172;3055.983;92591.653;20964.601;3047.018;GMZV-031;116;126;10;0.444;0.23;0.064;;0.662;;AND;CLO;CUO;CUO;4;3;12;2026;0.485;0.19;0.04;0.24;0.474;0.495;0.22;0.069;;;;;;3.92;67.7;63.6;61.2;;;9.3;13.9;;;;;;;;;;;;;;485;;;0.193;;;;;;;0.115;;;;;;4.21
PR;ZD-1395;92590.619;20990.272;2993.906;92590.725;20988.099;2998.408;92590.525;20992.431;2989.397;GMZV-032;180;190;10;0.542;0.384;0.036;;0.775;;AND;CLO;CUO;CUO;4;3;13;2030;0.543;0.44;0.02;0.1;0.847;0.184;0.446;0.075;;;;;;3.49;63.9;75.2;78.9;;;7.8;14.4;;;;;;;;;;;;;;488;;;0.121;;;;;;;0.073;;;;;;3.34
PR;ZD-1395;92590.518;21054.406;2862.764;92590.467;21052.152;2867.226;92590.57;21056.66;2858.301;GMZV-033;326;336;10;0.43;0.3;0.041;;0.793;;LPY;QSE;CUO;CUO;4;3;13;2032;0.469;0.38;0.02;0.07;0.853;0.149;0.39;0.061;;;;;;2.01;86.4;84.8;84.5;;;8.7;14.8;;;;;;;;;;;;;;490;;;0.076;;;;;;;0.035;;;;;;1.89
PR;ZF-279;93475.407;21999.738;3098.248;93472.648;21999.791;3102.418;93478.166;21999.685;3094.079;GMZV-034;210;220;10;2.368;2.189;;;;;LPY;PRO;CUO;CUO;4;3;-99;-99;2.362;1.93;0.37;0.08;0.974;0.034;2.168;0.548;;;;;;2.31;88.5;92.2;92.5;;;-1.2;32.5;;;;;;;;;;;;;;484;;;0.19;;;;;;;0.327;;;;;;2.51
PR;ZD-1553;93017.042;20751.779;3040.045;93017.732;20753.45;3044.707;93016.343;20750.111;3035.383;GMZV-035;134;144;10;0.388;0.194;0.026;;0.567;;AND;BIO;CUO;CUO;4;3;13;2029;0.386;0.25;0.02;0.13;0.699;0.337;0.243;0.03;;;;;;4.58;58.2;57.9;57.8;;;14.8;18.2;;;;;;;;;;;;;;485;;;0.17;;;;;;;0.08;;;;;;4.89
PR;ZD-1560;92454.108;21062.019;3038.411;92452.927;21060.215;3042.922;92455.283;21063.842;3033.905;GMZV-036;110;120;10;0.473;0.202;0.044;;0.52;;AND;BIO;CUO;CUO;4;3;12;2027;0.488;0.27;0.03;0.2;0.615;0.41;0.278;0.129;;;;;;5.26;69;62.4;58.5;;;14;18.4;;;;;;;;;;;;;;487;;;0.208;;;;;;;0.09;;;;;;5.17
PR;ZD-1560;92467.359;21082.208;2987.887;92466.231;21080.45;2992.43;92468.488;21083.967;2983.345;GMZV-037;166;176;10;0.34;0.12;0.032;;0.447;;AND;BIO;CUO;CUO;4;3;13;2030;0.316;0.15;0.02;0.15;0.538;0.475;0.146;0.026;;;;;;3.72;63;62.2;61.6;;;13.8;16.8;;;;;;;;;;;;;;487;;;0.124;;;;;;;0.059;;;;;;3.53
PR;ZD-1560;92479.664;21101.526;2940.114;92478.21;21099.059;2945.387;92481.117;21103.993;2934.841;GMZV-038;218;230;12;0.597;0.434;0.018;;0.757;;AND;BIO;CUO;CUO;4;3;13;2031;0.641;0.54;0.02;0.11;0.874;0.172;0.537;0.094;;;;;;2.87;103.3;78.6;71.9;;;8.6;15.7;;;;;;;;;;;;;;487;;;0.188;;;;;;;0.106;;;;;;4.49
PR;ZD-1560;92497.833;21131.626;2864.962;92496.354;21129.155;2871.342;92499.329;21134.108;2858.59;GMZV-039;300;314;14;0.391;0.108;0.028;;0.348;;AND;ARG;LXX;CUO;4;3;13;2032;0.337;0.12;0.02;0.19;0.415;0.564;0.124;0.185;;;;;;4.32;115.3;75.1;61.8;;;14;17.2;;;;;;;;;;;;;;485;;;0.132;;;;;;;0.044;;;;;;3
PR;ZD-1560;92508.71;21148.021;2822.29;92507.196;21146.035;2827.745;92510.223;21150.008;2816.834;GMZV-040;348;360;12;0.662;0.54;0.02;;0.846;;AND;SER;CUO;CUO;4;3;13;2033;0.564;0.51;0.02;0.06;0.94;0.106;0.506;0.214;;;;;;3.93;66.3;75.4;78.4;;;12.8;19.6;;;;;;;;;;;;;;479;;;0.125;;;;;;;0.145;;;;;;4.13
PR;Z-152;93438.176;22050.321;3081.036;93438.602;22050.287;3088.023;93437.75;22050.355;3074.049;GMZV-041;206;220;14;0.53;0.352;;;;;BXX;ARG;CUO;CUO;4;3;-99;-99;0.459;0.28;0.05;0.15;0.719;0.327;0.293;0.216;;;;;;3.04;80.2;77.8;77.2;;;10.4;15.9;;;;;;;;;;;;;;488;;;0.107;;;;;;;0.133;;;;;;3.33
PR;ZD-1416;92255.64;21089.52;2930.885;92254.226;21088.8;2935.627;92257.073;21090.251;2926.151;GMZV-042;232;242;10;0.4;0.246;0.028;;0.685;;LPY;QSE;CUO;CUO;4;3;13;2030;0.406;0.28;0.02;0.12;0.739;0.296;0.307;0.052;;;;;;2.08;92.6;78.4;74.5;;;10;14.7;;;;;;;;;;;;;;492;;;0.106;;;;;;;0.056;;;;;;2.09
PR;ZD-1416;92275.374;21099.452;2866.575;92273.909;21098.741;2871.302;92276.838;21100.163;2861.847;GMZV-043;300;310;10;0.637;0.437;0.028;;0.73;;AND;CLO;CUO;CUO;4;3;13;2032;0.68;0.55;0.02;0.14;0.838;0.206;0.547;0.083;;;;;;4.12;73.9;79.1;80.5;;;8.6;17;;;;;;;;;;;;;;482;;;0.134;;;;;;;0.054;;;;;;4.39
PR;ZD-1416;92224.928;21074.431;3032.265;92223.269;21073.603;3037.971;92226.588;21075.258;3026.559;GMZV-044;124;136;12;0.822;0.631;0.039;;0.815;;BXC;QSE;CUO;CUO;4;3;13;2029;1.111;0.95;0.04;0.16;0.891;0.144;0.972;0.059;;;;;;3;56.4;69.4;75.1;;;2.5;15.3;;;;;;;;;;;;;;479;;;0.303;;;;;;;0.081;;;;;;3.14
PR;ZD-1416;92241.395;21082.345;2978.273;92239.941;21081.649;2983.006;92242.831;21083.058;2973.537;GMZV-045;182;192;10;0.627;0.439;0.028;;0.745;;AND;BIO;CUO;CUO;4;3;13;2030;0.605;0.47;0.02;0.13;0.81;0.215;0.473;0.041;;;;;;3.59;65;73;76;;;8.8;15.8;;;;;;;;;;;;;;482;;;0.152;;;;;;;0.064;;;;;;3.78
PR;ZD-1600;92247.98;21097.4;2900.55;92247.98;21097.4;2905.55;92247.98;21097.4;2895.55;GMZV-046;234;244;10;0.593;0.413;0.028;;0.744;;AND;BIO;CUO;CUO;4;3;13;2031;0.594;0.48;0.02;0.12;0.842;0.202;0.493;0.059;;;;;;3.77;69.8;74.7;76.4;;;7.4;14.4;;;;;;;;;;;;;;482;;;0.148;;;;;;;0.046;;;;;;3.99
PR;ZD-1600;92247.98;21097.4;2844.55;92247.98;21097.4;2849.55;92247.98;21097.4;2839.55;GMZV-047;290;300;10;0.541;0.202;0.257;;0.848;;AND;BIO;SSE;CUO;1;1;-99;-99;0.563;0.25;0.24;0.1;0.87;0.178;0.35;0.39;;;;;;4.24;70.2;78.7;81;;;11.5;18.6;;;;;;;;;;;;;;479;;;0.112;;;;;;;0.308;;;;;;4.51
PR;ZD-1600;92247.98;21097.4;3024.55;92247.98;21097.4;3029.55;92247.98;21097.4;3019.55;GMZV-048;110;120;10;1.025;0.771;0.055;;0.806;;AND;BIO;CUO;CUO;4;3;13;2029;1.013;0.87;0.03;0.14;0.888;0.138;0.905;0.06;;;;;;2.84;71.7;77.6;79.3;;;2.7;15.1;;;;;;;;;;;;;;482;;;0.219;;;;;;;0.075;;;;;;2.82
PR;ZD-1557;92434.802;21002.805;3066.371;92435.167;21003.25;3072.343;92434.438;21002.36;3060.398;GMZV-049;68;80;12;0.323;0.106;0.04;;0.452;;AND;BIO;LXX;PRI;4;3;13;2029;0.42;0.12;0.02;0.27;0.333;0.643;0.123;0.109;;;;;;4.24;38.6;43.1;49.1;;;14.1;17.3;;;;;;;;;;;;;;496;;;0.216;;;;;;;0.096;;;;;;4.62
PR;ZD-1557;92429.893;20997.213;2991.741;92430.236;20997.596;2996.715;92429.55;20996.831;2986.767;GMZV-050;144;154;10;0.489;0.299;0.041;;0.695;;AND;BIO;CUO;CUO;4;3;13;2030;0.522;0.33;0.02;0.18;0.67;0.345;0.346;0.021;;;;;;3.22;67.1;65.2;64.2;;;9;14.2;;;;;;;;;;;;;;487;;;0.191;;;;;;;0.076;;;;;;3.55
PR;ZD-1557;92425.823;20992.76;2930.036;92426.159;20993.114;2935.012;92425.479;20992.414;2925.059;GMZV-051;206;216;10;0.572;0.495;0.026;;0.911;;AND;BIO;CUO;CUO;4;3;13;2030;0.548;0.48;0.02;0.06;0.912;0.109;0.481;0.043;;;;;;3.86;103.9;85.7;82.7;;;12.4;19.4;;;;;;;;;;;;;;483;;;0.095;;;;;;;0.045;;;;;;4.12
PR;ZD-1557;92421.934;20988.921;2874.303;92422.283;20989.263;2879.279;92421.586;20988.58;2869.327;GMZV-052;262;272;10;0.348;0.276;0.02;;0.851;;AND;BIO;CUO;CUO;4;3;13;2031;0.362;0.3;0.01;0.06;0.856;0.166;0.301;0.032;;;;;;4.01;102.5;80.5;75.2;;;14;18.2;;;;;;;;;;;;;;485;;;0.091;;;;;;;0.07;;;;;;4.12
PR;ZD-1410;92210.503;21384.169;2986.002;92209.536;21382.904;2990.742;92211.472;21385.436;2981.264;GMZV-053;186;196;10;0.959;0.326;0.549;;0.912;;AND;BIO;CUO;CUO;4;3;-99;-99;0.923;0.34;0.52;0.1;0.932;0.108;0.563;0.628;;;;;;4.17;108.3;86.8;83.5;;;11.5;23.3;;;;;;;;;;;;;;482;;;0.154;;;;;;;0.556;;;;;;4.54
PR;Z-139;94136.877;21901.213;3161.173;94131.216;21901.183;3166.093;94142.537;21901.242;3156.252;GMZV-054;300;315;15;0.916;0.078;;;;;BXX;SIL;SSE;SSE;3;2;-99;-99;0.983;0.1;0.77;0.05;0.885;0.051;0.493;1.05;;;;;;0.99;96.8;92;91.6;;;5;18.9;;;;;;;;;;;;;;493;;;0.083;;;;;;;1;;;;;;1.24
PR;Z-158;94205.505;22447.651;3158.901;94205.392;22447.639;3165.4;94205.618;22447.663;3152.402;GMZV-055;289;302;13;0.421;0.023;;;;;ZPY;SIL;SSE;SSE;2;2;-99;-99;0.359;0.02;0.16;0.19;0.501;0.529;0.036;0.887;;;;;;0.83;28.6;33.9;44.2;;;14.6;17;;;;;;;;;;;;;;496;;;0.204;;;;;;;0.78;;;;;;0.86
PR;Z-261;93898.036;22500.049;3178.396;93898.002;22499.95;3184.395;93898.07;22500.148;3172.397;GMZV-056;240;252;12;0.541;0.06;;;;;LPY;QSE;SSE;SSE;3;1;-99;-99;0.615;0.12;0.45;0.06;0.927;0.098;0.306;1.63;;;;;;1.01;99.3;90.1;89.1;;;6.3;14.7;;;;;;;;;;;;;;500;;;0.069;;;;;;;1.57;;;;;;1.13
PR;Z-249;93844.374;22451.831;3210.431;93844.537;22451.933;3215.427;93844.211;22451.73;3205.435;GMZV-057;190;200;10;0.603;0.065;;;;;ZPY;SIL;SSE;SSE;2;2;-99;-99;0.539;0.09;0.44;0.03;0.983;0.056;0.296;0.929;;;;;;0.92;93.1;90.2;89.9;;;7.5;15;;;;;;;;;;;;;;495;;;0.057;;;;;;;1.08;;;;;;1.25
PR;Z-249;93841.613;22452.669;3130.49;93841.787;22452.589;3135.486;93841.438;22452.749;3125.494;GMZV-058;270;280;10;0.412;0.042;;;;;BXX;SIL;SSE;SSE;3;2;-99;-99;0.464;0.13;0.3;0.05;0.927;0.108;0.193;0.747;;;;;;2.66;78.9;82.8;83.7;;;10.9;16.8;;;;;;;;;;;;;;494;;;0.08;;;;;;;0.84;;;;;;2.5
PR;ZF-293;94129.617;22447.444;3226.952;94131.858;22449.246;3231.043;94127.377;22445.643;3222.861;GMZV-059;256;266;10;2.263;0.186;;;;;ZPY;QSE;SSE;SSE;2;2;-99;-99;2.124;0.2;1.44;0.58;0.772;0.273;1.089;1.72;;;;;;1.48;86.3;79.4;77.7;;;4.9;30.3;;;;;;;;;;;;;;459;;;0.481;;;;;;;1.94;;;;;;1.98
PR;ZF-293;94101.834;22425.106;3176.227;94104.074;22426.907;3180.317;94099.593;22423.304;3172.136;GMZV-060;318;328;10;0.977;0.142;;;;;BXX;QSE;SSE;SSE;3;2;-99;-99;0.882;0.19;0.66;0.07;0.964;0.079;0.519;1.15;;;;;;1.36;97.4;92.6;92.2;;;6.3;18.8;;;;;;;;;;;;;;492;;;0.07;;;;;;;1.06;;;;;;1.42
PR;Z-173;94099.88;22599.99;3233.6;94099.88;22599.99;3240.6;94099.88;22599.99;3226.6;GMZV-061;242;256;14;0.38;0.033;;;;;ZPY;SIL;SSE;SSE;2;2;-99;-99;0.346;0.07;0.26;0.02;0.954;0.058;0.152;1.79;;;;;;1.65;101.3;88.9;87.4;;;5.7;10.3;;;;;;;;;;;;;;495;;;0.044;;;;;;;1.57;;;;;;1.56
PR;ZF-291;93990.393;22288.439;3155.412;93992.981;22291.091;3162.501;93987.804;22285.786;3148.322;GMZV-062;330;346;16;0.915;0.072;;;;;ZPY;SIL;SSE;SSE;2;2;-99;-99;0.743;0.11;0.56;0.09;0.902;0.121;0.288;1.58;;;;;;1.41;80.9;84.8;85.5;;;-2.4;7.4;;;;;;;;;;;;;;493;;;0.109;;;;;;;1.45;;;;;;1.38
PR;Z-163;94099.555;22097.298;3157.749;94100.093;22097.381;3165.73;94099.017;22097.214;3149.767;GMZV-063;292;308;16;0.434;0.013;;;;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.451;0.03;0.24;0.2;0.599;0.443;0.039;1;;;;;;0.96;41;41.2;41.6;;;10.4;13.3;;;;;;;;;;;;;;495;;;0.265;;;;;;;1.01;;;;;;1.05
PR;Z-230;93700.82;21597.271;3061.686;93700.835;21597.364;3067.685;93700.805;21597.178;3055.687;GMZV-064;258;270;12;0.306;0.072;;;;;ZPY;QSE;SSE;SSE;2;2;-99;-99;0.277;0.02;0.22;0.05;0.866;0.181;0.048;0.541;;;;;;0.52;75.3;70.1;67.9;;;9.7;12.6;;;;;;;;;;;;;;495;;;0.09;;;;;;;0.47;;;;;;0.63
PR;ZD-1554;94168.015;21953.663;3087.79;94169.693;21953.798;3092.497;94166.336;21953.529;3083.082;GMZV-065;304;314;10;1.176;0.028;0.363;;0.332;;LPY;QSE;PRI;MSP;5;5;-99;-99;1.551;0.03;0.56;0.95;0.38;0.613;0.037;2.12;;;;;;2.07;36.6;35.4;33.2;;;11.3;19.2;;;;;;;;;;;;;;488;;;1.04;;;;;;;2.11;;;;;;2.25
PR;ZD-1564;93464.693;20515.918;3016.902;93464.941;20513.393;3021.21;93464.446;20518.444;3012.594;GMZV-066;164;174;10;0.364;0.068;0.28;;0.956;;AND;CLO;SSE;SSE;1;1;-99;-99;0.257;0.07;0.19;0.01;1.012;0.039;0.141;1.01;;;;;;2.7;39.2;83;92;;;13.6;17.3;;;;;;;;;;;;;;491;;;0.022;;;;;;;1;;;;;;2.86
PR;Z-49;93496.744;22005.786;3008.894;93496.75;22005.646;3016.893;93496.738;22005.925;3000.896;GMZV-067;278;294;16;0.342;0.013;;;;;AND;SIL;SSE;SSE;3;1;8;2024;0.318;0.04;0.17;0.12;0.66;0.377;0.052;1.74;;;;;;3.71;66;56.4;49;;;16.5;18.9;;;;;;;;;;;;;;489;;;0.163;;;;;;;1.7;;;;;;3.74
PR;ZD-1580;93507.234;22072.371;3037.486;93507.087;22072.383;3042.484;93507.372;22072.355;3032.488;GMZV-068;8;18;10;0.326;0.047;0.229;;0.847;;AND;QSE;SSE;SSE;3;1;8;2024;0.314;0.05;0.22;0.06;0.86;0.191;0.07;1.97;;;;;;2.67;72.7;70.6;69.7;;;17.6;21;;;;;;;;;;;;;;493;;;0.096;;;;;;;2.14;;;;;;2.94
PR;Z-44;94094.693;22400.528;3198.264;94094.806;22400.456;3207.263;94094.537;22400.507;3189.266;GMZV-069;248;266;18;1.45;0.149;;;;;BXX;SIL;SSE;SSE;3;2;-99;-99;1.355;0.15;1.2;0.06;0.996;0.044;0.731;1.54;;;;;;1.37;103.8;93.5;92.8;;;5.8;25.2;;;;;;;;;;;;;;487;;;0.1;;;;;;;1.77;;;;;;1.68
