TPH;TSPH;CuTC;CuSC;RS;HumC;CAA;CO3;FeSol                            ;Alsol                          ;TCur;TAgua;HumAglo;HumDin;Alt;p80;M100;M200;diasREfec;Diasreposo;RLix;CuTRip;RecRip;STock;UM100;UM200;UM300;UM430;UM440;UM445;UM450;UM455;UM460;UM470;UM480;UM800;BH;BI;DF;FM;GD;GR;PD;PT;SV;K;KSER;SER;CLO;ARC;ARCSER;CLOSER
68240;67035.3;0.8;0.5;65.3;1.8;33.1;0.1;0.4;0.4;16.9;26.4;6.1;5.4;7;19.7;7.1;5.9;74.6;2;2.4;0.2;75;46.5;0;0;0;0;16.8;56.1;20.8;6.4;0;0;0;0;8.1;0;0;0;89.7;0;0;0.3;1.9;97.4;2.6;0;0;0;0;0
81752;80420.7;0.7;0.5;69.4;1.6;25.1;0.1;0.3;0.3;16.2;25.7;5.8;5.7;6.3;18.6;4.4;5.9;67.2;3;1.8;0.2;74.3;33.5;0;0;0;0;9.6;67.2;11.7;3.1;8.4;0;0;0;36.4;0;0;0;45;0;0;2.1;16.5;48.9;51.1;0;0;0;0;0
43784;42991.6;0.6;0.3;62.2;1.8;30;0.3;0.4;0.3;15.9;25.6;6;5.5;6.2;18.2;5.7;5.9;0;0;0;0.2;68;5.2;0;0;0;0;9.8;61.9;14;3.2;8.4;0;0;0;42.4;0;0;0;34.6;0;0;2.6;20.4;34.2;65.8;0;0;0;0;0
81240;80118.9;0.6;0.4;71.9;1.4;27;0.3;0.3;0.3;16;23.4;5.3;6.2;6.1;20.1;6.3;5.9;63.8;2;1.3;0.2;68.5;35.6;0;0;0;0;58.8;0;41.2;0;0;0;0;0;0;0;0;0;99.7;0;0;0.3;0;0;100;0;0;0;0;0
82986;81776.6;0.7;0.5;67.3;1.5;30.7;0.1;0.9;0.4;16.5;22.5;5.4;6.1;7.4;17.1;6.7;5.9;66.9;2;1.8;0.2;73.6;14.3;0;0;5.8;0;63.4;17.7;12.2;0.9;0;0;0;0;14.9;0.8;21.7;0;53.6;0;0;9;0;48.1;45;6.9;0;0;0;0
90568;88762;0.6;0.4;64.7;2;33.2;0.2;0.4;0.4;16.7;23.7;6;5.5;7.1;17;7.1;5.9;69.7;2;1.7;0.2;77.3;0.7;0;0;0;0;14.6;77.3;5.5;0.3;2.3;0;0;0;3.5;0;0;0;96.4;0;0;0;0;100;0;0;0;0;0;0
83584;82142;0.7;0.5;72.3;1.7;31;0.2;0.4;0.4;16.3;27.5;6.1;5.4;7.2;17.6;7.6;5.9;71.2;1;1.9;0.2;75;12.9;0;0;0;0;17.5;72.2;4.4;0.4;5.4;0;0;0;0.3;0;0;0;96.3;0;0;0;3.4;98;2;0;0;0;0;0
106414;104874;0.5;0.3;70.8;1.4;26.7;0.1;0.3;0.3;16.2;25.7;5.6;5.9;7.1;18.6;8.4;5.9;73.2;1;1.8;0.1;79.9;28.6;0;0;0;0;7.8;78.2;7;0;7;0;0;0;0.9;0;0;0;89.3;0;0;0;9.8;94.2;5.8;0;0;0;0;0
84224;82699.3;0.4;0.3;58;1.8;27.2;0.1;0.3;0.3;16.3;27.8;6.2;5.3;7;19.6;10.8;5.9;71.1;0;2;0.1;78.1;23.1;0;0;0;0;0.9;98.1;0.5;0;0.5;0;0;0;0.1;0;0;0;99.3;0;0;0;0.6;99.6;0.4;0;0;0;0;0
91496;89678.2;0.6;0.4;72.9;2;23.9;0.1;0.4;0.3;16.2;33;6.9;4.6;7.2;22.5;6.5;5.9;67.7;1;1.8;0.2;70.5;17.1;0;0;3;0;11.2;82.6;3.2;0;0;0;0;0;0;0;0;0;80.8;0;0;19.2;0;100;0;0;0;0;0;0
86096;85048.4;0.5;0.4;79.7;1.2;30.5;0.2;0.4;0.3;15.7;25.7;5.4;6.1;7.3;19.2;8.4;5.9;72.3;1;1.8;0.1;75.4;26;0;0;9.8;0;28.2;54.3;4.3;3.3;0;0;0;0;0;0;0;0;62.5;0;0;37.5;0;100;0;0;0;0;0;0
88800;87453.5;0.5;0.4;69.3;1.5;35;0.3;0.4;0.4;18.5;27;6.1;5.4;7.4;20.1;9.7;5.9;56.8;1;1.5;0.2;72.6;22.7;0;0;5.8;0;28.9;57.9;5.1;2.4;0;0;0;0;0;0;0;0;79.5;0;0;20.5;0;97.3;1.8;1;0;0;0;0
