Sifon;Paño;Ciclo;Fecha_apil;Fecha_riego;Fecha_aporte;Vol_m3;Mineral_tms;H_(Bh)_%; Tcu_%;ASCu_%;CNCu_%;Ac. Correa_ton;Sal_Sól_ton;Sal_Salmu_ton ;P80_mm;Menos_-#100;H_(Bs)_%_I;RS_%_I;Tcu_%_I;ASCu_%_I;CNCu_%_I;Alt Paño_%_I;D. Acido_kg/t_I;Sal_Sól_kg/t_I;Sal_Salmu_kg/t_I;Sal_Total_kg/t_I;Reposo_dias;Reviente_dias;Menos_-100#_%_I;Ciclo_Max_dias;Reviente_dias_Calc;Ciclo_Max_dias_Calc;Dif_dias;HON_gpl_sup;CuON_gpl_sup;ClON_gpl_sup;T.riego_l/h/m2_sup;RLd_m3/t/d;RL_m3/t_sup;Rmax_%;;RCuT_%
;14;23;20-jul-21;03-ago-21;04-ago-21;82.593;127.179;2.99;0.87;0.135;0.646;2.281;1.94;;14.9;;3.1;89.7;1.106.30;171.1;821.5;6.6;17.9;15.3;0;15.3;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;3;33.4;0;33.4
;15;23;22-jul-21;05-ago-21;07-ago-21;83.113;128.682;2.89;0.783;0.184;0.5;2.385;1.783;;15.6;;3;87.5;1.007.20;237.3;643.9;6.6;18.5;13.9;0;13.9;14;2;0;210;2;210;0;9;0.000078125;22;6;0.014;2.96;33.8;0;33.8
;16;23;24-jul-21;07-ago-21;09-ago-21;79.038;122.125;3.71;0.71;0.23;0.36;2.274;1.829;;16.6;;3.9;83.1;867.3;281.4;439.2;6.3;18.6;15;0;15;14;2;0;210;2;210;0;9;0.000078125;22;6;0.015;3.12;33.3;0;33.3
;17;23;26-jul-21;09-ago-21;13-ago-21;77.061;120.275;3.75;0.631;0.167;0.372;2.145;1.883;;16.4;;3.9;85.5;759.5;201.4;448;6.1;17.8;15.7;0;15.7;14;4;0;210;4;210;0;9;0.000078125;22;6;0.015;3.17;33.1;0;33.1
;18;23;28-jul-21;12-ago-21;16-ago-21;78.542;120.944;4.13;0.59;0.164;0.321;2.296;1.915;;16.2;;4.3;82.3;713.2;198.9;387.9;6.2;19;15.8;0;15.8;15;4;0;210;4;210;0;9;0.000078125;22;6;0.015;3.15;32.7;0;32.7
;19;23;30-jul-21;14-ago-21;18-ago-21;76.895;120.621;3.28;0.608;0.158;0.354;2.034;1.9;;15.3;;3.4;84.2;733.6;190.3;427.4;6.1;16.9;15.8;0;15.8;15;4;0;210;4;210;0;9;0.000078125;22;6;0.015;3.16;32.4;0;32.4
;20;23;02-ago-21;17-ago-21;18-ago-21;77.412;124.174;3.36;0.631;0.223;0.285;2.063;1.434;;14.5;;3.5;80.6;784.1;277.2;354.5;6.1;16.6;11.6;0;11.6;15;1;0;210;1;210;0;9;0.000078125;22;6;0.015;3.07;32.4;0;32.4
;21;23;06-ago-21;20-ago-21;23-ago-21;79.896;132.72;3.81;0.615;0.218;0.275;2.47;1.526;;14.7;;4;80.3;816;289.7;365.3;6.3;18.6;11.5;0;11.5;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.87;33;0;33
;22;23;08-ago-21;22-ago-21;25-ago-21;79.158;131.652;4.4;0.624;0.137;0.402;2.695;1.943;;15.1;;4.6;86.5;820.9;180.9;529.4;6.3;20.5;14.8;0;14.8;14;3;0;210;3;210;0;9;0.000078125;22;6;0.014;2.89;34;0;34
;23;23;10-ago-21;24-ago-21;28-ago-21;77.208;130.675;5.14;0.666;0.121;0.471;2.777;1.968;;14.6;;5.4;89;869.8;158.3;615.7;6.1;21.3;15.1;0;15.1;14;4;0;210;4;210;0;9;0.000078125;22;6;0.014;2.92;34.7;0;34.7
;24;23;13-ago-21;27-ago-21;28-ago-21;78.96;132.813;5.56;0.727;0.122;0.551;2.703;2.146;;14.2;;5.9;92.7;965;162.6;732;6.3;20.4;16.2;0;16.2;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.87;35.4;0;35.4
;25;23;16-ago-21;31-ago-21;01-sept-21;79.668;133.543;5.03;0.715;0.121;0.543;2.558;2.12;;15.2;;5.3;92.9;954.7;161.1;725.7;6.3;19.2;15.9;0;15.9;15;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.85;34.8;0;34.8
;26;23;20-ago-21;03-sept-21;04-sept-21;78.613;131.446;5.37;0.682;0.133;0.51;2.385;1.251;;14.9;;5.7;94.3;896.5;174.6;670.6;6.2;18.1;9.5;0;9.5;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.9;35.2;0;35.2
;27;23;22-ago-21;05-sept-21;06-sept-21;77.061;130.569;4.73;0.641;0.145;0.423;2.808;1.978;;14.9;;5;88.5;837.5;189.4;552.1;6.1;21.5;15.1;0;15.1;14;1;0;210;1;210;0;9;0.000078125;22;6;0.014;2.92;35.1;0;35.1
