Fecha apil;Fecha riego;Fecha aporte;Mineral_tms;Tcu_%;ASCu_%;CNCu_%;Ac_correa;H(bs)_%;RS_%;Altura_p_m;Sal_sol_kg/ton;Sal_salmu_kg/ton;sal_total_kg/ton;p80_mm;%-100#;HON gpl;RL_m3/t;Rmax;
20-ene-22;07-feb-22;08-feb-22;135.444;0,832;0,131;0,632;2.287;4,6;91,8;5,9;9,0;5,2;14,2;17,1;0,0;9,0;2,81;49,3;
23-ene-22;10-feb-22;13-feb-22;135.545;0,683;0,166;0,422;1.841;4,6;86,0;5,9;9,9;4,5;14,4;16,6;0,0;9,0;2,81;44,0;
26-ene-22;16-feb-22;18-feb-22;135.531;0,714;0,191;0,449;2.313;4,5;89,6;5,9;8,2;5,6;13,7;17,4;0,0;9,0;2,81;50,7;
29-ene-22;16-feb-22;18-feb-22;134.872;0,676;0,241;0,336;2.408;4,9;85,4;5,9;9,7;7,1;16,8;17,4;0,0;9,0;2,83;53,8;
31-ene-22;18-feb-22;20-feb-22;134.913;0,942;0,445;0,372;1.741;5,3;86,8;6,0;10,7;2,5;13,2;15,7;0,0;9,0;2,82;40,8;
08-feb-22;26-feb-22;28-feb-22;138.136;0,878;0,215;0,582;1.496;5,3;90,9;5,9;13,8;3,0;16,8;14,8;0,0;9,0;2,76;40,3;
11-feb-22;01-mar-22;04-mar-22;137.641;0,778;0,141;0,551;2.255;7,0;88,9;6,1;7,6;7,1;14,8;15,2;0,0;9,0;2,77;53,1;
14-feb-22;04-mar-22;07-mar-22;138.695;0,843;0,142;0,623;2.126;6,2;90,8;6,2;8,6;5,7;14,4;13,9;0,0;9,0;2,75;50,1;
18-feb-22;08-mar-22;12-mar-22;138.311;1,047;0,170;0,795;1.680;5,3;92,2;6,2;11,8;3,1;14,9;16,2;0,0;9,0;2,75;40,8;
21-feb-22;11-mar-22;14-mar-22;137.834;0,868;0,132;0,603;2.284;4,9;84,8;6,3;3,5;10,0;13,5;16,0;0,0;9,0;2,76;56,2;
25-feb-22;15-mar-22;16-mar-22;138.018;0,631;0,108;0,416;2.155;5,0;83,1;6,1;4,9;9,6;14,6;15,5;0,0;9,0;2,76;54,2;
28-feb-22;18-mar-22;19-mar-22;137.218;0,707;0,117;0,501;1.767;5,8;87,5;6,2;5,9;7,5;13,4;14,3;0,0;9,0;2,78;50,6;
04-mar-22;22-mar-22;27-mar-22;136.768;0,722;0,125;0,507;1.599;4,5;87,5;6,3;13,5;0,7;14,2;13,5;0,0;9,0;2,79;30,8;
08-mar-22;22-mar-22;29-mar-22;136.774;0,701;0,124;0,485;1.868;5,4;86,8;6,0;3,7;8,8;12,6;17,0;0,0;9,0;2,79;52,9;
11-mar-22;25-mar-22;31-mar-22;136.606;0,647;0,136;0,416;2.297;5,5;85,3;5,8;4,3;8,6;12,9;15,9;0,0;9,0;2,79;54,7;
15-mar-22;29-mar-22;02-abr-22;136.983;0,697;0,157;0,448;2.071;6,0;86,8;5,9;2,5;9,3;11,7;14,8;0,0;9,0;2,78;56,2;
20-mar-22;03-abr-22;07-abr-22;136.628;0,654;0,208;0,342;2.167;5,2;84,0;6,0;0,0;8,3;8,3;17,5;0,0;9,0;2,79;53,8;
22-mar-22;05-abr-22;11-abr-22;136.817;0,696;0,125;0,488;2.075;5,6;87,9;6,1;1,3;12,1;13,4;17,4;0,0;9,0;2,78;60,2;
26-mar-22;09-abr-22;12-abr-22;136.903;0,712;0,154;0,463;2.075;6,8;86,8;6,1;0,9;12,2;13,1;15,1;0,0;9,0;2,78;61,0;
31-mar-22;14-abr-22;18-abr-22;136.485;0,747;0,123;0,536;2.124;6,2;88,2;6,2;1,1;11,9;13,0;15,8;0,0;9,0;2,79;60,7;
03-abr-22;17-abr-22;21-abr-22;129.843;0,816;0,168;0,540;1.769;5,9;86,8;6,1;0,1;11,0;11,1;15,8;0,0;9,0;2,93;57,6;
06-abr-22;20-abr-22;25-abr-22;129.408;1,004;0,260;0,633;1.773;5,8;89,0;5,9;0,9;12,4;13,3;17,9;0,0;9,0;2,94;61,7;
08-abr-22;22-abr-22;27-abr-22;114.868;1,039;0,312;0,655;2.022;6,2;93,1;5,6;0,4;12,3;12,6;14,4;0,0;9,0;3,32;68,7;
10-abr-22;24-abr-22;29-abr-22;104.984;0,877;0,253;0,540;2.103;5,8;90,5;5,0;3,9;11,7;15,6;16,8;0,0;9,0;3,63;66,8;
10-abr-22;24-abr-22;29-abr-22;51.541;0,836;0,237;0,508;788;6,2;89,0;2,3;9,1;2,2;11,3;12,5;0,0;9,0;7,39;41,3;
;;;;;;;;;;;;;;;;9,0;0,00;0,0;
28-abr-22;12-may-22;15-may-22;90.745;0,791;0,199;0,473;1.329;6,1;85,0;4,3;10,4;2,3;12,7;15,8;0,0;9,0;3,97;37,5;
28-abr-22;12-may-22;15-may-22;151.238;0,788;0,213;0,473;2.351;5,9;87,0;7,1;9,2;5,1;14,4;15,8;0,0;9,0;2,38;47,3;
28-abr-22;12-may-22;15-may-22;151.282;0,843;0,224;0,527;2.260;6,3;89,1;7,2;5,5;9,2;14,7;16,5;0,0;9,0;2,38;56,8;
03-may-22;17-may-22;22-may-22;150.379;0,771;0,131;0,490;1.725;7,1;80,5;6,8;10,0;5,4;15,5;16,7;0,0;9,0;2,39;41,1;
07-may-22;21-may-22;26-may-22;150.191;0,853;0,136;0,551;1.676;5,4;80,5;6,5;8,2;5,0;13,3;14,7;0,0;9,0;2,40;40,3;
09-may-22;23-may-22;27-may-22;149.823;0,858;0,180;0,559;2.181;6,0;86,2;6,5;4,3;10,4;14,7;15,3;0,0;9,0;2,40;56,7;
12-may-22;26-may-22;01-jun-22;149.570;0,798;0,192;0,501;2.434;6,3;86,9;6,6;3,1;12,3;15,5;17,4;0,0;9,0;2,41;61,6;
15-may-22;29-may-22;02-jun-22;149.446;0,718;0,112;0,457;2.135;5,6;79,3;6,6;3,5;13,6;17,1;16,6;0,0;9,0;2,97;57,5;
20-may-22;03-jun-22;06-jun-22;149.349;0,647;0,216;0,292;2.463;6,3;78,5;6,5;4,0;12,5;16,5;14,8;0,0;9,0;2,98;60,1;
23-may-22;06-jun-22;10-jun-22;149.670;0,628;0,247;0,264;2.306;6,8;81,4;6,4;3,9;12,4;16,3;16,6;0,0;9,0;2,97;60,9;
26-may-22;09-jun-22;12-jun-22;149.573;0,775;0,174;0,500;2.141;6,3;87,0;6,3;4,0;13,0;16,9;16,7;0,0;9,0;2,97;62,1;
28-may-22;11-jun-22;14-jun-22;149.769;0,732;0,154;0,489;2.284;6,4;87,9;6,2;4,8;12,8;17,5;15,3;0,0;9,0;2,97;63,2;
31-may-22;14-jun-22;18-jun-22;149.828;0,587;0,285;0,178;2.638;6,3;78,9;6,2;3,8;13,6;17,4;16,0;0,0;9,0;2,97;64,0;
05-jun-22;18-jun-22;22-jun-22;147.725;0,655;0,240;0,319;2.145;6,5;85,5;6,3;5,1;9,5;14,6;14,8;0,0;9,0;3,01;57,7;
08-jun-22;22-jun-22;25-jun-22;147.880;1,002;0,171;0,749;1.761;6,4;91,9;6,1;4,4;10,1;14,5;15,3;0,0;9,0;3,01;57,5;
10-jun-22;24-jun-22;27-jun-22;147.778;0,914;0,158;0,694;2.248;6,4;93,2;6,2;4,7;13,2;17,9;15,3;0,0;9,0;3,01;66,5;
13-jun-22;27-jun-22;01-jul-22;147.536;0,843;0,143;0,630;2.437;6,1;91,8;6,2;5,3;13,1;18,5;15,5;0,0;9,0;3,01;66,8;
16-jun-22;30-jun-22;04-jul-22;147.995;1,135;0,164;0,883;2.517;5,0;92,3;6,2;4,1;12,0;16,1;14,8;0,0;9,0;3,00;65,7;
